left	pron	right	candidates	selected
Joan made sure to thank Susan for all the help	she	had recieved.	Joan,Susan	0
Joan made sure to thank Susan for all the help	she	had given.	Joan,Susan	1
Paul tried to call George on the phone, but	he	wasn't successful.	Paul,George	0
Paul tried to call George on the phone, but	he	wasn't available.	Paul,George	1
The delivery truck zoomed by the school bus because	it	was going so fast.	the delivery truck,the school bus	0
The delivery truck zoomed by the school bus because	it	was going so slow.	the delivery truck,the school bus	1
Frank felt vindicated when his longtime rival Bill revealed that	he	was the winner of the competition.	Frank,Bill	0
Frank felt crushed when his longtime rival Bill revealed that	he	was the winner of the competition.	Frank,Bill	1
The man couldn't lift his son because	he	was so weak.	The man,The son	0
The man couldn't lift his son because	he	was so heavy.	The man,The son	1
John couldn't see the stage with Billy in front of him because	he	is so short.	John,Billy	0
John couldn't see the stage with Billy in front of him because	he	is so tall.	John,Billy	1
Tom threw his schoolbag down to Ray after	he	reached the top of the stairs.	Tom,Ray	0
Tom threw his schoolbag down to Ray after	he	reached the bottom of the stairs.	Tom,Ray	1
Although they ran at about the same speed, Sue beat Sally because	she	had such a good start.	Sue,Sally	0
Although they ran at about the same speed, Sue beat Sally because	she	had such a bad start.	Sue,Sally	1
Sam's drawing was hung just above Tina's and	it	did look much better with another one below it.	Sam's drawing,Tina's drawing	0
Sam's drawing was hung just above Tina's and	it	did look much better with another one above it.	Sam's drawing,Tina's drawing	1
Anna did a lot better than her good friend Lucy on the test because	she	had studied so hard.	Anna,Lucy	0
Anna did a lot worse than her good friend Lucy on the test because	she	had studied so hard.	Anna,Lucy	1
The firemen arrived after the police because	they	were coming from so far away.	The firemen,The police	0
The firemen arrived before the police because	they	were coming from so far away.	The firemen,The police	1
Frank was upset with Tom because the toaster	he	had bought from him didn't work.	Frank,Tom	0
Frank was upset with Tom because the toaster	he	had sold him didn't work.	Frank,Tom	1
Jim yelled at Kevin because	he	was so upset.	Jim,Kevin	0
Jim comforted Kevin because	he	was so upset.	Jim,Kevin	1
The sack of potatoes had been placed above the bag of flour, so	it	had to be moved first.	The sack of potatoes,The bag of flour	0
The sack of potatoes had been placed below the bag of flour, so	it	had to be moved first.	The sack of potatoes,The bag of flour	1
Pete envies Martin although	he	is very successful.	Pete,Martin	0
Pete envies Martin because	he	is very successful.	Pete,Martin	1
The older students were bullying the younger ones, so we punished	them	.	The older students,The younger students	0
The older students were bullying the younger ones, so we rescued	them	.	The older students,The younger students	1
I poured water from the bottle into the cup until	it	was empty.	the bottle,the cup	0
I poured water from the bottle into the cup until	it	was full.	the bottle,the cup	1
Susan knows all about Ann's personal problems because	she	is nosy.	Susan,Ann	0
Susan knows all about Ann's personal problems because	she	is indiscreet.	Susan,Ann	1
Sid explained his theory to Mark but	he	couldn't convince him.	Sid,Mark	0
Sid explained his theory to Mark but	he	couldn't understand him.	Sid,Mark	1
Susan knew that Ann's son had been in a car accident, so	she	told her about it.	Susan,Ann	0
Susan knew that Ann's son had been in a car accident, because	she	told her about it.	Susan,Ann	1
Ann asked Mary what time the library closes, because	she	had forgotten.	Ann,Mary	0
Ann asked Mary what time the library closes, but	she	had forgotten.	Ann,Mary	1
Bob paid for Charlie's college education.	He	is very generous.	Bob,Charlie	0
Bob paid for Charlie's college education.	He	is very grateful.	Bob,Charlie	1
Bob paid for Charlie's college education, but now Charlie acts as though it never happened.	He	is very hurt.	Bob,Charlie	0
Bob paid for Charlie's college education, but now Charlie acts as though it never happened.	He	is very ungrateful.	Bob,Charlie	1
Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,	he	would have won.	Bob,Adam	0
Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck,	he	would have lost.	Bob,Adam	1
Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,	he	would be gone by this time.	Adam,Bob	0
Adam can't leave work here until Bob arrives to replace him. If Bob had  left home for work on time,	he	would be here by this time.	Adam,Bob	1
I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know why	he	was, but he looked very unhappy.	Jim,the guy in uniform	0
I saw Jim yelling at some guy in a military uniform with a huge red  beard. I don't know who	he	was, but he looked very unhappy.	Jim,the guy in uniform	1
John was doing research in the library when he heard a man humming and  whistling.	He	was very annoyed.	John,The man	0
John was doing research in the library when he heard a man humming and  whistling.	He	was very annoying.	John,The man	1
Bob collapsed on the sidewalk. Soon he saw Carl coming to help.	He	was very ill.	Bob,Carl	0
Bob collapsed on the sidewalk. Soon he saw Carl coming to help.	He	was very concerned.	Bob,Carl	1
Mark told Pete many lies about himself, which Pete included in his book.	He	should have been more  truthful.	Mark,Pete	0
Mark told Pete many lies about himself, which Pete included in his book.	He	should have been more  skeptical.	Mark,Pete	1
Jane knocked on Susan's door, but there was no answer.	She	was disappointed.	Jane,Susan	0
Jane knocked on Susan's door, but there was no answer.	She	was out.	Jane,Susan	1
Jane knocked on the door, and Susan answered it.	She	invited her to come out.	Jane,Susan	0
Jane knocked on the door, and Susan answered it.	She	invited her to come in.	Jane,Susan	1
Sam took French classes from Adam, because	he	was eager to speak it fluently.	Sam,Adam	0
Sam took French classes from Adam, because	he	was known to speak it fluently.	Sam,Adam	1
Thomson visited Cooper's grave in 1765. At that date	he	had been travelling for five years.	Thomson,Cooper	0
Thomson visited Cooper's grave in 1765. At that date	he	had been dead for five years.	Thomson,Cooper	1
Jackson was greatly influenced by Arnold, though	he	lived two centuries later.	Jackson,Arnold	0
Jackson was greatly influenced by Arnold, though	he	lived two centuries earlier.	Jackson,Arnold	1
The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured	it	was too hard to pronounce.	Terpsichore,Tina	0
The actress used to be named Terpsichore, but she changed it to Tina a  few years ago, because she figured	it	was easier to pronounce.	Terpsichore,Tina	1
Fred watched TV while George went out to buy groceries. After an hour	he	got up.	Fred,George	0
Fred watched TV while George went out to buy groceries. After an hour	he	got back.	Fred,George	1
In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,	they	were defeated within weeks.	Kamchatka,Yakutsk	0
In July, Kamchatka declared war on Yakutsk. Since Yakutsk's army was much  better equipped and ten times larger,	they	were victorious within weeks.	Kamchatka,Yakutsk	1
Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make more of	them	.	The oatmeal cookies,The chocolate chip cookies	0
Everyone really loved the oatmeal cookies; only a few people liked the  chocolate chip cookies. Next time, we should make fewer of	them	.	The oatmeal cookies,The chocolate chip cookies	1
