left	pron	right	candidates	selected
Susan made sure to thank joan for all the help	she	had recieved.	Joan,Susan	1
Susan made sure to thank joan for all the help	she	had given.	Joan,Susan	0
George tried to call paul on the phone, but	he	wasn't successful.	Paul,George	1
George tried to call paul on the phone, but	he	wasn't available.	Paul,George	0
The school bus zoomed by the delivery truck because	it	was going so fast.	the delivery truck,the school bus	1
The school bus zoomed by the delivery truck because	it	was going so slow.	the delivery truck,the school bus	0
Bill felt vindicated when his longtime rival frank revealed that	he	was the winner of the competition.	Frank,Bill	1
Bill felt crushed when his longtime rival frank revealed that	he	was the winner of the competition.	Frank,Bill	0
The son couldn't lift the man because	he	was so weak.	The man,The son	1
The son couldn't lift his man because	he	was so heavy.	The man,The son	0
Billy couldn't see the stage with john in front of him because	he	is so short.	John,Billy	1
Billy couldn't see the stage with john in front of him because	he	is so tall.	John,Billy	0
Ray threw his schoolbag down to tom after	he	reached the top of the stairs.	Tom,Ray	1
Ray threw his schoolbag down to tom after	he	reached the botray of the stairs.	Tom,Ray	0
Although they ran at about the same speed, sally beat sue because	she	had such a good start.	Sue,Sally	1
Although they ran at about the same speed, sally beat sue because	she	had such a bad start.	Sue,Sally	0
Tina's drawing was hung just above sam's and	it	did look much better with another one below it.	Sam's drawing,Tina's drawing	1
Tina's drawing was hung just above sam's and	it	did look much better with another one above it.	Sam's drawing,Tina's drawing	0
Lucy did a lot better than her good friend anna on the test because	she	had studied so hard.	Anna,Lucy	1
Lucy did a lot worse than her good friend anna on the test because	she	had studied so hard.	Anna,Lucy	0
The police arrived after the firemen because	they	were coming from so far away.	The firemen,The police	1
The police arrived before the firemen because	they	were coming from so far away.	The firemen,The police	0
Tom was upset with frank because the toaster	he	had bought from him didn't work.	Frank,Tom	1
Tom was upset with frank because the toaster	he	had sold him didn't work.	Frank,Tom	0
Kevin yelled at jim because	he	was so upset.	Jim,Kevin	1
Kevin comforted jim because	he	was so upset.	Jim,Kevin	0
The bag of flour had been placed above the sack of potatoes, so	it	had to be moved first.	The sack of potatoes,The bag of flour	1
The bag of flour had been placed below the sack of potatoes, so	it	had to be moved first.	The sack of potatoes,The bag of flour	0
Martin envies pete although	he	is very successful.	Pete,Martin	1
Martin envies pete because	he	is very successful.	Pete,Martin	0
The younger students were bullying the older ones, so we punished	them	.	The older students,The younger students	1
The younger students were bullying the older ones, so we rescued	them	.	The older students,The younger students	0
I poured water from the cup into the bottle until	it	was empty.	the bottle,the cup	1
I poured water from the cup into the bottle until	it	was full.	the bottle,the cup	0
Ann knows all about susan's personal problems because	she	is nosy.	Susan,Ann	1
Ann knows all about susan's personal problems because	she	is indiscreet.	Susan,Ann	0
Mark explained his theory to sid but	he	couldn't convince him.	Sid,Mark	1
Mark explained his theory to sid but	he	couldn't understand him.	Sid,Mark	0
Ann knew that susan's son had been in a car accident, so	she	told her about it.	Susan,Ann	1
Ann knew that susan's son had been in a car accident, because	she	told her about it.	Susan,Ann	0
Mary asked ann what time the library closes, because	she	had forgotten.	Ann,Mary	1
Mary asked ann what time the library closes, but	she	had forgotten.	Ann,Mary	0
Charlie paid for bob's college education.	He	is very generous.	Bob,Charlie	1
Charlie paid for bob's college education.	He	is very grateful.	Bob,Charlie	0
