sentence	pronoun_idx	pronoun	coref	candidates
The bee landed on the flower because it had pollen.	37	it	the flower	The bee,the flower
The bee landed on the flower because it wanted pollen.	37	it	The bee	The bee,the flower
When Debbie splashed Tina, she got in trouble.	27	she	Debbie	Debbie,Tina
When Debbie splashed Tina, she got wet.	27	she	Tina	Debbie,Tina
The bus driver yelled at a kid after she drove her vehicle.	37	she	The bus driver	The bus driver,a kid
The bus driver yelled at a kid after she broke a window.	37	she	a kid	The bus driver,a kid
Jimbo was running from Bobbert because he smelled awful.	39	he	Bobbert	Jimbo,Bobbert
Jimbo was running from Bobbert because he wanted to get to the car first.	39	he	Jimbo	Jimbo,Bobbert
Jimbo attacked Bobbert because he stole an elephant from the zoo.	31	he	Bobbert	Jimbo,Bobbert
Jimbo attacked Bobbert because he could not control his rage.	31	he	Jimbo	Jimbo,Bobbert
Jimbo was afraid of Bobbert because she gets scared around new people.	36	she	Jimbo	Jimbo,Bobbert
Jimbo was afraid of Bobbert because she was running around with a bloody spear.	36	she	Bobbert	Jimbo,Bobbert
The man stole the neighbor's bike because he needed one.	42	he	The man	The man,the neighbor
The man stole the neighbor's bike because he had one extra.	42	he	the neighbor	The man,the neighbor
The bird ate the pie and it died.	25	it	The bird	The bird,the pie
The bird ate the pie and it was ruined.	25	it	the pie	The bird,the pie
The bird perched on the limb and it bent.	33	it	the limb	The bird,the limb
The bird perched on the limb and it sang.	33	it	The bird	The bird,the limb
Mary cleaned Susan's room and she was thankful.	30	she	Susan	Mary,Susan
Mary cleaned Susan's room and she asked a favor.	30	she	Mary	Mary,Susan
Mary stabbed Jennifer, so John took her to the hospital.	36	her	Jennifer	Mary,Jennifer
Mary stabbed Jennifer, so John reported her to the police.	40	her	Mary	Mary,Jennifer
Lions eat zebras because they are predators.	25	they	Lions	Lions,zebras
Lions eat zebras because they are meaty.	25	they	zebras	Lions,zebras
The coach criticized the player because he did not adhere to the team's formation.	40	he	the player	The coach,the player
The coach criticized the player because he explicitly told everyone not to break the team's formation.	40	he	The coach	The coach,the player
The academic clubs lost their members because they were poorly funded.	46	they	The academic clubs	The academic clubs,their members
The academic clubs lost their members because they did not have free time.	46	they	their members	The academic clubs,their members
James asked Robert for a favor, but he refused.	36	he	Robert	James,Robert
James asked Robert for a favor, but he was refused.	36	he	James	James,Robert
The teacher did not recommend William because he was not a good student.	46	he	William	The teacher,William
The teacher did not recommend William because he had high standards.	46	he	The teacher	The teacher,William
The doctor told Susan that she had cancer.	27	she	Susan	The doctor,Susan
The doctor told Susan that she had been busy.	27	she	The doctor	The doctor,Susan
The professor grading the student's paper said that he was stupid.	52	he	the student	The professor,the student
The professor grading the student's paper said that he loved it.	52	he	The professor	The professor,the student
Jeremy annoyed Justin so he can leave the room.	25	he	Justin	Jeremy,Justin
Jeremy annoyed Justin so he can have the room.	25	he	Jeremy	Jeremy,Justin
Paula liked Ness more than Pokey because he was nice to her.	41	he	Ness	Ness,Pokey
Paula liked Ness more than Pokey because he was mean to her.	41	he	Pokey	Ness,Pokey
Rocky lost to Clubber Lang because he was not ready for the fight.	35	he	Rocky	Rocky,Clubber Lang
Rocky lost to Clubber Lang because he was ready for the fight.	35	he	Clubber Lang	Rocky,Clubber Lang
Aaron kissed Dan because he wanted to.	25	he	Aaron	Aaron,Dan
Aaron kissed Dan because he wanted him to.	25	he	Dan	Aaron,Dan
The students fell asleep during the professor's lectures because they were boring.	65	they	the professor's lectures	The students,the professor's lectures
The students fell asleep during the professor's lectures because they were bored.	65	they	The students	The students,the professor's lectures
Derrick begged his boss for a raise but he did not get one.	40	he	Derrick	Derrick,his boss
Derrick begged his boss for a raise but he did not give one.	40	he	his boss	Derrick,his boss
The jurors deliberated on the defendants' fate for hours, but they did not reach a verdict.	62	they	The jurors	The jurors,the defendants
The jurors deliberated on the defendants' fate for hours, but they didn't receive the death penalty.	62	they	the defendants	The jurors,the defendants
The orchestra was booed by the audience because they had performed poorly.	48	they	The orchestra	The orchestra,the audience
The orchestra was booed by the audience because they had expected a rock band.	48	they	the audience	The orchestra,the audience
Jacob gave William money because he needed some.	33	he	William	Jacob,William
Jacob gave William money because he sold the car.	33	he	Jacob	Jacob,William
Alexandra told Kelly not to get a tattoo because she raised her conservatively.	49	she	Alexandra	Alexandra,Kelly
