left	pron	right	candidates	selected
Then Dad figured out how much the man owed the store; to that  he added the man's board-bill at the cook-shanty.	He	subtracted  that amount from the man's wages, and made out his check	Dad,the man	0
Always before, Larry had helped Dad with his work. But	he	could not help  him now, for Dad said that his boss at the railroad company would not  want anyone but him to work in the office.	Larry,Dad	0
Always before, Larry had helped Dad with his work. But he could not help	him	now, for Dad said that his boss at the railroad company would not  want anyone but him to work in the office.	Larry,Dad	1
Always before, Larry had helped Dad with his work. But he could not help  him now, for Dad said that	his	boss at the railroad company would not want anyone but him to work in the office.	Larry,Dad	1
The donkey wished a wart on its hind leg would disappear, and	it	did.	donkey,wart,leg	1
When they had eventually calmed down a bit, and had gotten home, Mr.  Farley put the magic pebble in an iron safe. Some day they might want  to use	it	, but really for now, what more could they wish for?	magic pebble,safe	0
The Wainwrights treated Mr. Crowley like a prince until he made his will in  their favor; then they treated him like dirt. Folks said he died just  to be rid of	their	everlasting nagging.	Wainwrights,Folks	0
A number of times Henry had been present at interviews which his father  had had with noted detectives who desired his aid in solving perplexing  mysteries, and those occasions stood out as red-letter days for	him	.	Henry,father	0
What about the time you cut up tulip bulbs in the hamburgers because  you thought	they	were onions?	tulip bulbs,hamburgers	0
No one joins Facebook to be sad and lonely. But a new study from the  University of Wisconsin psychologist George Lincoln argues that that's exactly how	it	makes us feel.	Facebook,study	0
Equally swoon-worthy is C.K. Dexter Haven, a pallid young dandy holding  a jade-handled walking stick, with a poodle asleep at	his	feet	Haven,poodle	0
Lionel is holding captive a scientist, Dr. Vardi, who has invented a  device that turns animals invisible; Lionel plans to use it on Geoffrey and send	him	to steal nuclear material from an army vault.	Lionel,Dr. Vardi,Geoffrey	2
Larry, a timid teen-ager, lives with his widowed mother in a Brooklyn  housing project. Larry's father, a gang leader, was shot to death; his father's disciple, Antonio, takes Larry under	his	wing, and quickly  molds him into a drug runner.	Larry,Larry's father,Antonio	2
The Dakota prairie lay so warm and bright under the shining sun that  it did not seem possible that	it	had ever been swept by the winds and snows of that hard winter.	the prairie,the sun	0
It is not easy to space buttonholes exactly the same distance apart, and  it is very difficult to cut them precisely the right size. The tiniest  slip of the scissors will make the hole too large, and even one thread  uncut will leave	it	too small.	the right size,slip,the scissors,the hole,one thread	3
The storekeepers stayed in town to run their stores and  lived in the rooms behind	them	.	storekeepers,stores,rooms	1
Even before they reached town, they could hear a sound like corn popping.  Dora asked what	it	was, and Dad said it was firecrackers.	town,sound,corn	1
All the buttons up the back of Dora's plaid dress were buttoned  outside-in. Maude should have thought to button her up; but no, she  had left poor little Dora to do the best	she	could, alone.	Dora,Maude	0
Bernard, who had not told the government official that	he	was less than 21 when he filed for a homestead claim, did not  consider that he had done anything dishonest. Still, anyone who knew  that he was 19 years old could take his claim away from him.	Bernard,the government official	0
Bernard, who had not told the government official that  he was less than 21 when he filed for a homestead claim, did not  consider that	he	had done anything dishonest. Still, anyone who knew  that he was 19 years old could take his claim away from him.	Bernard,the government official	0
Bernard, who had not told the government official that  he was less than 21 when he filed for a homestead claim, did not  consider that he had done anything dishonest. Still, anyone who knew  that he was 19 years old could take his claim away from	him	.	Bernard,the government official,anyone	0
The politicians far away in Washington could not know the settlers so	they	must make rules to regulate them.	politicians,settlers	0
The politicians far away in Washington could not know the settlers so they  must make rules to regulate	them	.	politicians,settlers	1
Men had the right to keep their sons working for them until	they	were 21 years of age.	Men,sons	1
Since Chester was dependent on Uncle Vernon,	he	couldn't very well marry without his approval	Chester,Uncle Vernon	0
Since Chester was dependent on Uncle Vernon,  he couldn't very well marry without	his	approval	Chester,Uncle Vernon	1
I sat there feeling rather like a chappie I'd once read about in a book,  who murdered another cove and hid the body under the dining-room  table, and then had to be the life and soul of a dinner party, with	it	there all the time.	book,body,table,life and soul,dinner party	1
Mr. Taylor was a man of uncertain temper and his general tendency was to  think that David was a poor chump and that whatever step he took in  any direction on his own account was just another proof of	his	innate idiocy,	Mr. Taylor,David	1
I sallied out for a bit of food, more to pass the time than because I wanted	it	.	food,time	0
Mr. Moncrieff visited Chester's luxurious New York apartment, thinking  that it belonged to his son Edward. The result was that Mr. Moncrieff  has decided to cancel Edward's allowance on the ground that	he	no  longer requires his financial support.	Mr. Moncrieff,Chester,Edward	2
