id	source	target	pronoun_idx	pronoun	selected_nouns	candidates_nouns	label
0	I stuck a pin through a carrot. When I pulled the pin out, it had a hole.	The carrot had a hole.	59	it	The carrot	a hole|a pin|the pin|The carrot	1
1	John couldn't see the stage with Billy in front of him because he is so short.	John is so short.	63	he	John	John|the stage|front|Billy	1
2	The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.	The police were trying to stop the drug trade in the neighborhood.	45	They	The police	The police|the gang members|the drug trade|the neighborhood	1
3	Steve follows Fred's example in everything. He influences him hugely.	Steve influences him hugely.	44	He	Steve	Fred's example|Steve|everything	0
4	When Tatyana reached the cabin, her mother was sleeping. She was careful not to disturb her, undressing and climbing back into her berth.	mother was careful not to disturb her, undressing and climbing back into her berth.	57	She	mother	her berth|the cabin|Tatyana|mother	0
5	George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.	George was particularly eager to see it.	71	he	George	George|the play|Eric|free tickets	0
6	John was jogging through the park when he saw a man juggling watermelons. He was very impressive.	John was very impressive.	74	He	John	the park|John|watermelons|a man	0
7	I couldn't put the pot on the shelf because it was too tall.	The pot was too tall.	44	it	The pot	the shelf|the pot	1
8	We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.	There were simply not enough copies of the newsletter.	120	them	the newsletter	all the chairs|the auditorium|the newsletter|copies	1
9	At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.	The judges were so advanced.	102	they	The judges	the judges|which respondents|the Loebner competition|the chatbots	0
10	I took the water bottle out of the backpack so that it would be lighter.	I took the water bottle out of the backpack so that the backpack would be lighter.	52	it	the backpack	the water bottle|the backpack	1
11	The table won't fit through the doorway because it is too narrow.	The table is too narrow.	48	it	The table	The table|the doorway	0
12	I took the water bottle out of the backpack so that it would be handy.	I took the water bottle out of the backpack so that the backpack would be handy.	52	it	the backpack	the water bottle|the backpack	0
13	The firemen arrived after the police because they were coming from so far away.	The police were coming from so far away.	45	they	The police	the police|The firemen	0
14	Always before, Larry had helped Dad with his work. But he could not help him now, for Dad said that his boss at the railroad company would not want anyone but him to work in the office.	Dad could not help him now.	55	he	Dad	the office|Larry|Dad|his boss|anyone|the railroad company|his work	0
15	I poured water from the bottle into the cup until it was empty.	The cup was empty.	50	it	The cup	water|the bottle|the cup	0
16	I put the cake away in the refrigerator. It has a lot of butter in it.	The cake has a lot of butter in it.	41	It	The cake	butter|the cake|a lot|the refrigerator	1
17	Lionel is holding captive a scientist, Dr. Vardi, who has invented a device that turns animals invisible; Lionel plans to use it on Geoffrey and send him to steal nuclear material from an army vault.	Lionel plans to use it on Geoffrey and send Lionel to steal nuclear material from an army vault.	150	him	Lionel	Dr. Vardi|a device|captive a scientist|Geoffrey|Lionel|nuclear material|animals|an army vault	0
18	The foxes are getting in at night and attacking the chickens. They have gotten very bold.	The foxes have gotten very bold.	62	They	The foxes	The foxes|the chickens|night	1
19	Sam pulled up a chair to the piano, but it was broken, so he had to stand instead.	The piano was broken, so he had to stand instead.	40	it	The piano	a chair|Sam|the piano	0
20	Jane knocked on Susan's door but she did not get an answer.	Susan did not get an answer.	33	she	Susan	Jane|Susan's door|an answer|Susan	0
21	Bob was playing cards with Adam and was way ahead. If Adam hadn't had a sudden run of good luck, he would have won.	Adam would have won.	97	he	Adam	Adam|a sudden run|good luck|cards|Bob	0
22	I put the butterfly wing on the table and it broke.	The table broke.	42	it	The table	the butterfly wing|the table	0
23	Paul tried to call George on the phone, but he wasn't successful.	Paul wasn't successful.	44	he	Paul	Paul|George|the phone	1
24	Look! There is a shark swimming right below that duck! It had better get away to safety fast!	The shark had better get away to safety fast!	55	It	The shark	a shark swimming|safety|that duck|The shark	0
25	The trophy doesn't fit into the brown suitcase because it is too large.	The suitcase is too large.	55	it	The suitcase	The suitcase|The trophy	0
26	Joe's uncle can still beat him at tennis, even though he is 30 years older.	Joe is 30 years older.	54	he	Joe	years|tennis|Joe's uncle|Joe	0
27	The large ball crashed right through the table because it was made of steel.	The large ball was made of steel.	55	it	The large ball	The large ball|steel|the table	1
28	Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.	The crutches should be better.	85	they	The crutches	month|The crutches|Sam|both his ankles	0
29	Grant worked hard to harvest his beans so he and his family would have enough to eat that winter, His friend Henry let him stack them in his barn where they would dry. Later, he and Tatyana would shell them and cook them for their Sunday dinners.	His friend Henry let him stack Grant and his family in his barn where they would dry.	129	them	Grant and his family	His friend|his beans|his family|Henry|Grant|their Sunday dinners|that winter|his barn|Grant and his family|Tatyana	0
30	Jane knocked on the door, and Susan answered it. She invited her to come out.	Jane invited her to come out.	49	She	Jane	Jane|the door|Susan	1
