left	pron	right	candidates	selected
The city councilmen refused the demonstrators a permit because	they	feared violence.	The city councilmen,The demonstrators	0
The city councilmen refused the demonstrators a permit because	they	advocated violence.	The city councilmen,The demonstrators	1
The trophy doesn't fit into the brown suitcase because	it	is too large.	the trophy,the suitcase	0
The trophy doesn't fit into the brown suitcase because	it	is too small.	the trophy,the suitcase	1
Joan made sure to thank Susan for all the help	she	had recieved.	Joan,Susan	0
Joan made sure to thank Susan for all the help	she	had given.	Joan,Susan	1
Paul tried to call George on the phone, but	he	wasn't successful.	Paul,George	0
Paul tried to call George on the phone, but	he	wasn't available.	Paul,George	1
The lawyer asked the witness a question, but	he	was reluctant to repeat it.	the lawyer,the witness	0
The lawyer asked the witness a question, but	he	was reluctant to answer it.	the lawyer,the witness	1
The delivery truck zoomed by the school bus because	it	was going so fast.	the delivery truck,the school bus	0
The delivery truck zoomed by the school bus because	it	was going so slow.	the delivery truck,the school bus	1
Frank felt vindicated when his longtime rival Bill revealed that	he	was the winner of the competition.	Frank,Bill	0
Frank felt crushed when his longtime rival Bill revealed that	he	was the winner of the competition.	Frank,Bill	1
The man couldn't lift his son because	he	was so weak.	The man,The son	0
The man couldn't lift his son because	he	was so heavy.	The man,The son	1
The large ball crashed right through the table because	it	was made of steel.	The large ball,The table	0
The large ball crashed right through the table because	it	was made of styrofoam.	The large ball,The table	1
John couldn't see the stage with Billy in front of him because	he	is so short.	John,Billy	0
John couldn't see the stage with Billy in front of him because	he	is so tall.	John,Billy	1
Tom threw his schoolbag down to Ray after	he	reached the top of the stairs.	Tom,Ray	0
Tom threw his schoolbag down to Ray after	he	reached the bottom of the stairs.	Tom,Ray	1
Although they ran at about the same speed, Sue beat Sally because	she	had such a good start.	Sue,Sally	0
Although they ran at about the same speed, Sue beat Sally because	she	had such a bad start.	Sue,Sally	1
The sculpture rolled off the shelf because	it	wasn't anchored.	The sculpture,The shelf	0
The sculpture rolled off the shelf because	it	wasn't level.	The sculpture,The shelf	1
Sam's drawing was hung just above Tina's and	it	did look much better with another one below it.	Sam's drawing,Tina's drawing	0
Sam's drawing was hung just above Tina's and	it	did look much better with another one above it.	Sam's drawing,Tina's drawing	1
Anna did a lot better than her good friend Lucy on the test because	she	had studied so hard.	Anna,Lucy	0
Anna did a lot worse than her good friend Lucy on the test because	she	had studied so hard.	Anna,Lucy	1
The firemen arrived after the police because	they	were coming from so far away.	The firemen,The police	0
The firemen arrived before the police because	they	were coming from so far away.	The firemen,The police	1
Frank was upset with Tom because the toaster	he	had bought from him didn't work.	Frank,Tom	0
Frank was upset with Tom because the toaster	he	had sold him didn't work.	Frank,Tom	1
